STYLE-SIZE,Machine,MachineDaysUsed,PairsPerDay,ProducedPairs
FPS21TXUFN-10,MCT2 : SS (G21 TY L),95.0,96.0,9120.0
FPS21TXUFN-11,MCT3 : SS (G21 TY L2-JUMBO),96.0,75.0,7200.0
FPS21TXUFN-12,MCT3 : SS (G21 TY L2-JUMBO),5.714285714285714,84.0,480.0
FPS21TXUFN-5,MCT1 : SS (G21 TY M),8.0,120.0,960.0
FPS21TXUFN-6,MCT1 : SS (G21 TY M),12.0,120.0,1440.0
FPS21TXUFN-7,MCT1 : SS (G21 TY M),48.0,110.0,5280.0
FPS21TXUFN-8,MCT1 : SS (G21 TY M),109.0909090909091,110.0,12000.0
FPS21TXUFN-9,MCT2 : SS (G21 TY L),105.0,96.0,10080.0
FPS21TXUFN-9,MCT10: BMAC (G21 M/134),80.0,96.0,7680.0
FPS21TXUFN-9,MCT11 : RAV (G21 L/133),30.0,96.0,2880.0
FPS21TXUGFN-10,MCT11 : RAV (G21 L/133),30.0,96.0,2880.0
FPS21TXUGFN-12,MCT3 : SS (G21 TY L2-JUMBO),5.714285714285714,84.0,480.0
FPS21TXUGFN-6,MCT1 : SS (G21 TY M),4.0,120.0,480.0
FPS21TXUGFN-7,MCT1 : SS (G21 TY M),17.454545454545453,110.0,1919.9999999999998
FPS21TXUGFN-7,MCT9: BMAC (G21 S/124),2.0670334131202913e-15,110.0,2.2737367544323206e-13
FPS21TXUGFN-8,MCT1 : SS (G21 TY M),1.4545454545454533,110.0,159.99999999999986
FPS21TXUGFN-8,MCT9: BMAC (G21 S/124),37.81818181818182,110.0,4160.0
FPS21TXUGFN-9,MCT11 : RAV (G21 L/133),20.0,96.0,1920.0
PS21TX-11,MCT3 : SS (G21 TY L2-JUMBO),8.571428571428571,84.0,720.0
PS21TX-6,MCT9: BMAC (G21 S/124),2.0,120.0,240.0
PS21TX-7,MCT9: BMAC (G21 S/124),8.727272727272727,110.0,959.9999999999999
PS21TX-8,MCT9: BMAC (G21 S/124),2.1818181818181817,110.0,239.99999999999997
S21TX-11,MCT3 : SS (G21 TY L2-JUMBO),11.428571428571429,84.0,960.0
S21TX-12,MCT3 : SS (G21 TY L2-JUMBO),5.714285714285714,84.0,480.0
S21TX-5,MCT9: BMAC (G21 S/124),2.0,120.0,240.0
S21TX-6,MCT9: BMAC (G21 S/124),4.0,120.0,480.0
S21TX-7,MCT9: BMAC (G21 S/124),10.909090909090908,110.0,1200.0
S21TX-8,MCT9: BMAC (G21 S/124),6.545454545454546,110.0,720.0
S21TX-MX-7,MCT9: BMAC (G21 S/124),5.818181818181819,110.0,640.0000000000001
SL21TX18TE-2XL,MCT8 : SS (G21 TY L4),5.454545454545454,55.0,300.0
SL21TX18TE-XL,MCT7 : SS (G21 TY L3),9.473684210526315,57.0,540.0
SL21TX18TE-L,MCT3 : SS (G21 TY L2-JUMBO),4.2105263157894735,57.0,240.0
PSL21TX18TE-2XL,MCT8 : SS (G21 TY L4),1.0909090909090908,55.0,59.99999999999999
PSL21TX18TE-XL,MCT7 : SS (G21 TY L3),1.0526315789473684,57.0,60.0
PSL21TX18TE-L,MCT3 : SS (G21 TY L2-JUMBO),1.0526315789473684,57.0,60.0
