Machine,AvailableMachineDays,UsedMachineDays,RemainingMachineDays
MCT1 : SS (G21 TY M),200,200.0,0.0
MCT2 : SS (G21 TY L),200,200.0,0.0
MCT3 : SS (G21 TY L2-JUMBO),160,138.406015037594,21.59398496240601
MCT4 : SS (G21 M),120,0.0,120.0
MCT5 : SS (G21 L),120,0.0,120.0
MCT 6 : SS (G21 L2 JUMBO),80,0.0,80.0
MCT7 : SS (G21 TY L3),80,10.526315789473685,69.47368421052632
MCT8 : SS (G21 TY L4),80,6.545454545454547,73.45454545454545
MCT9: BMAC (G21 S/124),80,80.0,0.0
MCT10: BMAC (G21 M/134),80,80.0,0.0
MCT11 : RAV (G21 L/133),80,80.0,0.0
MCT12 : RAV (G21 L2 JUMBO),80,0.0,80.0
