STYLE-SIZE,Demand,Produced,Shortage
FPS21TXUFN-10,9120.0,9120.0,0.0
FPS21TXUFN-11,7200.0,7200.0,0.0
FPS21TXUFN-12,480.0,480.0,0.0
FPS21TXUFN-5,960.0,960.0,0.0
FPS21TXUFN-6,1440.0,1440.0,0.0
FPS21TXUFN-7,5280.0,5280.0,0.0
FPS21TXUFN-8,12000.0,12000.0,0.0
FPS21TXUFN-9,20640.0,20640.0,0.0
FPS21TXUGFN-10,2880.0,2880.0,0.0
FPS21TXUGFN-12,480.0,480.0,0.0
FPS21TXUGFN-6,480.0,480.0,0.0
FPS21TXUGFN-7,1920.0,1920.0,0.0
FPS21TXUGFN-8,4320.0,4320.0,0.0
FPS21TXUGFN-9,5760.0,1920.0,3840.0
PS21TX-10,1920.0,0.0,1920.0
PS21TX-11,720.0,720.0,0.0
PS21TX-6,240.0,240.0,0.0
PS21TX-7,960.0,959.9999999999999,1.1368683772161603e-13
PS21TX-8,240.0,239.99999999999997,2.842170943040401e-14
PS21TX-9,480.0,0.0,480.0
S21TX-10,1920.0,0.0,1920.0
S21TX-11,960.0,960.0,0.0
S21TX-12,480.0,480.0,0.0
S21TX-5,240.0,240.0,0.0
S21TX-6,480.0,480.0,0.0
S21TX-7,1200.0,1200.0,0.0
S21TX-8,720.0,720.0,0.0
S21TX-9,2400.0,0.0,2400.0
S21TX-MX-7,720.0,640.0000000000001,79.99999999999989
S21TX-MX-8,720.0,0.0,720.0
S21TX-MX-9,720.0,0.0,720.0
SL21TX18TE-2XL,300.0,300.0,0.0
SL21TX18TE-XL,540.0,540.0,0.0
SL21TX18TE-L,240.0,240.0,0.0
SL21TX18TE-M,120.0,0.0,120.0
PSL21TX18TE-2XL,60.0,59.99999999999999,7.105427357601002e-15
PSL21TX18TE-XL,60.0,60.0,0.0
PSL21TX18TE-L,60.0,60.0,0.0
PSL21TX18TE-M,60.0,0.0,60.0
